Abutilon theophrasti
Acer sp.
Acer negundo
Acer pensylvanicum
Acer platanoides
Acer rubrum
Acer saccharum
Acer spicatum
Achillea borealis
Achillea lamlosa
Achillea millefolium
Achillea ptarmica
Aconitum Sp.
Actaea rubra
Actea rubra
Aegopodium podagraria
Aesculus hippocastanum
Agrimona Sp.
Agrimonia striata
Ajuga reptans
Alchemilla cf.
Alchemilla filicaulis
Alchemilla sp.
Alchemilla Vulgaris
Alnus crispa
Alnus rugosa
Alyssum desertorum
Amaranthus hybridus
Amaranthus retroflexus
Ambrosia artemisiifolia
Amelanchier bartramiana
Amelanchier intermedia
Amelanchier sp.
Amoracia rusticana
Anaphalis margaritacea
Andromeda glaucophylla
Andromeda sp.
Anemone canadensis
Anemone multifida
Anemone parviflora
Anemone patens
Anethum graveolens
Angelica anaphaloides
Angelica artopurpurea
Angelica sp.
Antennaria eucosma
Antennaria gaspensis
Antennaria microphylla
Antennaria sp.
Antennaria neglecta
Antennaria pulcherrima
Antennaria spathalata
Antennaria straminea
Anthemis cotula
Anthemis tinctoria
Anthyllis vulneraria
Apocynum androsaemifolium
Apocynum cannabinum
Apocynum sp.
Aquilegia canadensis
Aquilegia vulgaris
Arabis alpina
Arabis drummondii
Arabis glabra
Aralia hispida
Aralia nudicaulis
Arceuthobium pusillum
Arctium minus
Arctium sp.
Arctostaphylos alpina
Arctostaphylos rubra
Arctostaphylos Sp.
Arctostaphylos uva-ursi
Arenaria congesta
Arenaria humifusa
Arenaria laterflora
Arenaria marcescens
Arenaria sp.
Arenaria peploides
Arenaria rubella
Arenaria stricta
Arinca augustifolia
Arinca sp.
Armeria labradorica
Armeria maritima
Arnica Chionopappa
Aronia sp.
Aronia prunifolia
Artemisia absenthium
Artemisia borealis
Artemisia canadensis
Artemisia sp.
Artemisia stelleriana
Artemisia vulgaris
Articum minus
Asclepias tuberosa
Aster acuminatus
Aster cordifolius
Aster foliaceus
Aster lateriflorus
Aster macrophyllus
Aster sp.
Aster nemoralis
Aster novae-angliae
Aster novi-belgii
Aster puniceus
Aster radula
Aster simplex
Aster umbellatus
Astragalus alpinus
Astragalus canadensis
Astragalus eucosmus
Astragalus fernaldii
Atriplex dioica
Atriplex sp.
Atriplex patula
Atriplex rosea
Atriplex subspicata
Axyris amaranthoides
