Achillea lanulosa
Agropyron repens
Agropyron trachycaulum
Agrostis canina
Agrostis scabra
Agrostis stolonifera
Agrostis tenuis
Alisma triviale
Allium schoenoprasum
Alopecurus aequalis
Alopecurus geniculatus
Alopecurus pratensis
Ammophila breviligulata
Anthoxanthum odoratum
Anthriscus synestris
Arenaria dawsonensis
Arenaria lateriflora
Arenaria laterifolia
Arethusa bulbosa
Artemisia vugaris
Aster Blakei
Avena fatua
Avena sativa
Betula allegheniensis
Biddens frondosa
Brachyelytrum erectum
Braya purpurascens
Bromus ciliatus
Bromus hordeaceus
Bromus inermis
Calamagrostis canadensis
Calamagrostis inexpansa
Calamagrostis neglecta
Calamagrostis pickeringii
Cardamine pratense
Cardamine pratensis
Carex aquatilis
Carex arctata
Carex aurea
Carex bebbii
Carex bipartita
Carex buxbaumii
Carex canescens
Carex capillaris
Carex castanea
Carex cephalantha
Carex conoidea
Carex crinita
Carex demissa
Carex eburnea
Carex exilis
Carex flava
Carex gracillima
Carex hystricina
Carex interior
Carex intumescens
Carex lepidocarpa
Carex leporina
Carex leptalea
Carex michauxiana
Carex nigra
Carex oligosperma
Carex pallescens
Carex pauciflora
Carex paupercula
Carex projecta
Carex pseudo-cyperus
Carex rostrata
Carex saxatilis
Carex scirpoidea
Carex scoparia
Carex sterilis
Carex stipata
Carex vesicaria
Catabrosa aquatica
Centaurea cyanus
Chenopodium album
Chiogenes hispidula
Chrysanthemum segetum
Cicuta bulbifera
Cinna latifolia
Clintonia borealis
Convallaria majalis
Corallorhiza maculata
Corallorhiza trifida
Crataegus laurentiana
Cuscuta campestris
Cuscuta pentagona
Cynosurus cristatus
Cypripedium acaule
Cypripedium calceolus
Cypripedium reginae
Dactylis glomerata
Danthonia spicata
Deschampsia caespitosa
Deschampsia flexuosa
Drosaria intermedia
Dryopteris cristata
Dryopteris disjuncta
Dryopteris noveboracensis
Echinochloa crusgalli
Elocharis palustris
Elymus arenarius
Elymus virginicus
Epilobium augustifolium
Eriocaulon septangulare
Eriophorum angustifolium
Eriophorum chamissonis
Eriophorum opacum
Eriophorum spissum
Eriophorum tenellum
Eriophorum virdi-carinatum
Eriophorum virginicum
Euphrasia rigidulo
Fagopyrum esculentum
Festuca capillata
Festuca elatior
Festuca rubra
Gentiana amarella
Gentiana propinqua
Glyceria borealis
Glyceria canadensis
Glyceria fluitans
Glyceria grandis
Glyceria striata
Habenaria blephariglottis
Habenaria clavellata
Habenaria dilatata
Habenaria hyperborea
Habenaria obtusata
Habenaria psycodes
Hieracium Lachenalii
Hieracium murorum
Hieracium piloselloides
Hierochloe odorata
Holcus mollis
Hordeum jubatum
Hordeum vulgare
Hydrocotyle americana
Hypercium boreale
Hypericum ellipticum
Hypericum viginicum
Ilix verticillata
Inula helenium
Iris versicolor
Isoetes muricata
Juncus albescens
Juncus articulatus
Juncus balticus
Juncus brevicaudatus
Juncus bufonius
Juncus canadensis
Juncus compressus
Juncus effusus
Juncus filiformis
Juncus gerardi
Juncus j.
Juncus militaris
Juncus tenuis
Kalmia augustifolia
Lamium amplexicaule
Lathrus palustris
Ledum groenlandicum
Lesquerella Purshii
Lolium multiflorum
Lolium perenne
Lolium temulentum
Lomatogonium rotarum
Luzula multiflora
Lychnis alba
Lychnis chalcedonica
Lycopodium annotium
Lycopodium sabinaefolium
Maianthemum canadense
Malaxis brachypoda
Mentha cardiaca
Monotropha hypopithys
Monotropha uniflora
Mulenbergia racemosa
Myosotis arvense
Myosotis arvensis
Nasturtium officinale
Neslia paniculata
No No
Oenothera parviflora
Orobanche uniflora
Oryzopsis asperifolia
Oxalis corniculata
Oxalis stricta
Panicum boreale
Phalaris arundinacea
Phalaris canariensis
Phleum alpinum
Phleum pratense
Poa alpina
Poa annua
Poa compressa
Poa eminens
Poa nemoralis
Poa palustris
Poa pratensis
Poa saltuensis
Poa trivialis
Pogonia ophioglossoides
Polygonum convolvulus
Polygonum pensylvanicum
Potamogeton alpinus
Potamogeton epihydrus
Potamogeton filiformis
Potamogeton gramineus
Potamogeton natans
Potamogeton oaksianus
Potamogeton pectinatus
Potamogeton spirillus
Potentilla argentica
Prenanthes trifoliolata
Prunus pensylvanica
Pteretis pensylvanica
Pteridum aquilinum
Puccinellia pumila
Ranunculus pensylvanicus
Ranunculus reptans
Rhinanthus borealis
Rhinanthus crista-galli
Rhododendron canadense
Rhododendron lapponicum
Rhynchospora alba
Sagittaria graminea
Sagittaria latifolia
Salix humilis
Salix pellita
Salix pyrifolia
Salix viminalis
Saxifraga cespitosa
Scheuchzeria palustris
Schizachne purpurascens
Scirpus acutus
Scirpus americanus
Scirpus atrocinctus
Scirpus cespitosus
Scirpus cyperinus
Scirpus hudsonianus
Scirpus rubrotinctus
Scirpus subterminalis
Scirpus validus
Secale cereale
Sedum Roseum
Sedum telephium
Setaria glauca
Setaria viridis
Sieglinia decumbens
Silene acaulis
Sisyrinchium montanum
Smilacina stellata
Smilacina trifolia
Solidago candensis
Solidago uliginosa
Sorbaria sorbifolia
Sparganium americanum
Sparganium angustifolium
Sparganium chlorocarpum
Sparganium eurycarpum
Sparganium fluctuans
Sparganium hyperboreum
Spartina alterniflora
Spartina patens
Spiranthes romanzoffiana
Stellaria gramininea
Streptopus roseus
Sublaria aquatica
Symphoricarpos albus
Symphytum officinale
Tilia europea
Tofieldia glutinosa
Tofieldia pusilla
Trifolium hybridum
Triglochin palustris
Trillium cernuum
Trisetum spicatum
Triticum aestivum
Typha latifolia
Ultricularia cornuta
Ultricularia intermedia
Ultricularia vulgaris
Vaccinium macrocarpon
Vaccinium Oxycoccos
Vicia villosa
Viola sepentrionalis
Viola tricolor
Woodsia glabella
Xyris montana
